Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;RingPosition_x;RingPosition_y;RingPosition_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;PalmPosition_x;PalmPosition_y;PalmPosition_z;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;
10316;0.9356;0.0010;1.1822;0.0400;22.7404;19.3657;5.7471;True;True;0.2503;0.9741;0.2622;346.4225;59.5871;2.5896;0.2053;0.9675;0.3388;-0.0789;-0.5769;1.0766;-159.3089;0.2114;0.9384;0.3455;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10320;0.9918;-0.0017;1.1809;0.0482;22.5133;19.6806;6.1663;True;True;0.2355;0.9586;0.2879;343.1606;60.9307;18.4162;0.2012;0.9290;0.3646;-0.2535;-0.2707;0.2171;-164.8051;0.2129;0.9008;0.3646;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10324;1.0519;-0.0049;1.1777;0.0559;22.9797;20.0006;7.3144;True;True;0.2278;0.9454;0.2964;344.8935;58.4322;21.8343;0.1915;0.9109;0.3701;-0.0155;-0.2049;0.0427;-164.3175;0.2033;0.8828;0.3685;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10328;1.1020;-0.0079;1.1734;0.0610;24.4032;20.3574;8.6220;True;True;0.2276;0.9290;0.3064;340.8799;57.2009;25.1178;0.1941;0.8908;0.3795;-0.0788;-0.3495;0.1522;-163.0707;0.2084;0.8638;0.3778;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10332;1.1571;-0.0109;1.1702;0.0645;25.6048;20.6365;9.3022;True;True;0.2225;0.9167;0.3114;340.3034;57.5620;33.8696;0.1969;0.8676;0.3812;-0.0217;-0.2362;0.0782;-163.9750;0.2132;0.8424;0.3755;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10336;1.2145;-0.0134;1.1686;0.0669;25.7559;20.3803;9.2571;True;True;0.2236;0.8986;0.3215;342.7431;59.1207;36.8628;0.2006;0.8453;0.3891;-0.0202;-0.3059;0.1620;-163.3855;0.2163;0.8204;0.3811;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10340;1.2706;-0.0153;1.1679;0.0675;25.8476;20.2107;9.3124;True;True;0.2146;0.8920;0.3239;344.2392;58.8120;37.5604;0.1905;0.8375;0.3902;-0.2817;-0.0341;-0.0075;-163.1641;0.2058;0.8125;0.3817;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10344;1.3265;-0.0165;1.1676;0.0668;26.0510;20.1434;9.3059;True;True;0.2000;0.8885;0.3214;344.5656;57.9537;37.1573;0.1744;0.8344;0.3873;-0.2359;-0.0801;-0.0646;-164.2787;0.1896;0.8093;0.3792;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10348;1.3812;-0.0171;1.1682;0.0655;25.7543;20.0050;9.1761;True;True;0.1939;0.8855;0.3162;344.7535;56.4128;36.6278;0.1659;0.8320;0.3817;-0.0673;-0.0683;-0.0765;-165.0027;0.1812;0.8067;0.3741;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10352;1.4367;-0.0186;1.1687;0.0648;25.3965;19.7089;8.9772;True;True;0.1950;0.8772;0.3147;344.2424;55.1710;34.6634;0.1644;0.8262;0.3809;0.0298;-0.2062;-0.0242;-164.8233;0.1797;0.8005;0.3747;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10356;1.4935;-0.0196;1.1692;0.0643;25.2113;19.1744;8.8692;True;True;0.2043;0.8652;0.3180;342.0932;48.9213;27.2808;0.1618;0.8239;0.3845;0.3311;-0.2969;0.1084;-161.7279;0.1763;0.7970;0.3836;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10360;1.5499;-0.0203;1.1691;0.0644;25.3068;19.1192;9.0546;True;True;0.2215;0.8512;0.3206;341.5162;43.7180;20.3954;0.1680;0.8191;0.3842;0.1486;-0.1249;-0.0229;-151.8034;0.1805;0.7914;0.3875;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10364;1.6047;-0.0200;1.1690;0.0650;25.4487;19.4636;9.2431;True;True;0.2261;0.8503;0.3194;342.7847;44.4137;19.2842;0.1721;0.8196;0.3833;0.0675;0.0239;-0.0215;-149.2276;0.1837;0.7915;0.3864;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10368;1.6594;-0.0200;1.1678;0.0661;25.5898;19.5217;9.4988;True;True;0.2306;0.8557;0.3191;342.5792;44.7182;16.1721;0.1749;0.8294;0.3835;0.0867;0.1403;-0.0033;-147.7085;0.1855;0.8011;0.3878;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10372;1.7173;-0.0201;1.1668;0.0674;26.0414;19.0751;9.6325;True;True;0.2331;0.8672;0.3189;344.9943;45.5989;8.3228;0.1734;0.8521;0.3833;0.0294;0.1997;0.0076;-144.5742;0.1804;0.8231;0.3896;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10376;1.7712;-0.0203;1.1657;0.0688;26.4136;18.1866;9.4019;True;True;0.2317;0.8893;0.3224;347.9553;47.3138;5.7703;0.1724;0.8779;0.3879;-0.0670;0.5025;0.0629;-144.5781;0.1776;0.8484;0.3940;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10380;1.8267;-0.0204;1.1651;0.0702;26.5862;16.8942;9.0161;True;True;0.2234;0.9226;0.3228;347.7054;46.6977;3.0443;0.1624;0.9153;0.3874;-0.1809;0.6078;-0.0277;-146.3159;0.1666;0.8860;0.3947;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10384;1.8819;-0.0201;1.1636;0.0702;27.4167;15.3762;8.2047;True;True;0.2080;0.9550;0.3220;349.9658;44.6244;358.5573;0.1436;0.9546;0.3835;-0.3061;0.5904;-0.0064;-147.4214;0.1449;0.9253;0.3917;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10388;1.9383;-0.0197;1.1630;0.0700;27.7016;14.5542;7.3412;True;True;0.1780;0.9902;0.3226;353.7657;44.3734;358.8949;0.1132;0.9894;0.3838;-0.5465;0.5052;0.0422;-152.4396;0.1133;0.9596;0.3905;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10392;1.9940;-0.0206;1.1632;0.0706;27.3832;11.9220;6.0876;True;True;0.1563;1.0079;0.3258;351.0552;39.1448;354.1427;0.0858;1.0143;0.3799;-0.3579;0.1394;0.1641;-154.2283;0.0842;0.9852;0.3892;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10396;2.0488;-0.0250;1.1618;0.0702;28.1795;7.6529;3.7590;True;True;0.1293;1.0164;0.3361;353.9175;36.5434;351.0403;0.0566;1.0277;0.3864;-0.6821;0.2254;0.1023;-152.3049;0.0524;0.9988;0.3953;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10400;2.1049;-0.0295;1.1603;0.0694;28.9405;2.8888;0.5975;True;True;0.0893;1.0302;0.3296;353.0120;35.6554;349.2068;0.0160;1.0443;0.3781;-0.7203;0.2247;-0.1701;-156.8115;0.0111;1.0158;0.3879;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10404;2.1599;-0.0341;1.1591;0.0691;28.8999;358.8529;358.0571;True;True;0.0556;1.0232;0.3285;359.2109;33.5994;346.3244;-0.0179;1.0420;0.3751;-0.6324;-0.3184;0.0847;-159.3045;-0.0261;1.0136;0.3829;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10408;2.2164;-0.0382;1.1592;0.0699;28.3868;355.9632;356.2820;True;True;0.0258;0.9867;0.3524;0.7050;28.3209;342.0380;-0.0500;1.0120;0.3917;-0.5443;-0.7254;0.5175;-156.2988;-0.0610;0.9844;0.3991;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10412;2.2714;-0.0417;1.1596;0.0714;28.1162;353.8378;355.0489;True;True;-0.0105;0.9483;0.3842;355.3111;26.7887;342.6740;-0.0886;0.9724;0.4196;-0.6437;-0.5349;0.3581;-147.5325;-0.0984;0.9450;0.4289;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10416;2.3272;-0.0453;1.1598;0.0741;27.9536;352.1864;353.8683;True;True;-0.0372;0.9247;0.3817;358.1327;27.6809;346.1229;-0.1152;0.9437;0.4201;-0.4021;-0.4066;-0.1709;-148.5907;-0.1240;0.9154;0.4276;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10420;2.3828;-0.0482;1.1591;0.0778;28.2120;351.0012;352.5374;True;True;-0.0613;0.8804;0.4132;358.1478;27.2884;348.0952;-0.1401;0.8964;0.4515;-0.4093;-0.7797;0.6323;-145.4662;-0.1480;0.8677;0.4584;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10424;2.4379;-0.0503;1.1566;0.0814;28.7568;350.5329;351.6249;True;True;-0.0760;0.8566;0.4303;0.9137;28.6099;0.2689;-0.1550;0.8538;0.4715;-0.1999;-0.2127;0.1266;-146.1875;-0.1579;0.8236;0.4743;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10428;2.4941;-0.0520;1.1537;0.0844;29.6342;350.4549;350.7044;True;True;-0.0842;0.8493;0.4321;8.0715;35.6310;20.5277;-0.1550;0.8164;0.4751;-0.1179;0.0845;-0.1194;-154.6668;-0.1510;0.7867;0.4690;True;False;False;1.0000;1.0000;0.8391;0.6561;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10432;2.5494;-0.0531;1.1516;0.0860;30.5590;350.5818;350.5152;True;True;-0.0920;0.8684;0.4216;13.7819;48.6371;38.3103;-0.1486;0.8134;0.4629;-0.1024;0.5403;-0.2439;158.1183;-0.1418;0.7875;0.4481;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9352d94-0ec5-4ed8-8656-26c48f74c17b;False;
10436;2.6046;-0.0533;1.1506;0.0863;31.0188;350.8760;351.0361;True;True;-0.0966;0.8895;0.4164;14.7074;56.2009;45.2393;-0.1455;0.8272;0.4571;-0.0724;0.3618;-0.0604;155.5169;-0.1390;0.8034;0.4391;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;True;
10440;2.6601;-0.0516;1.1506;0.0850;31.2459;351.3378;351.4794;True;True;-0.0922;0.9141;0.4171;14.9032;54.3993;42.6389;-0.1437;0.8545;0.4589;0.1175;0.4443;0.0365;154.1904;-0.1375;0.8300;0.4418;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10444;2.7163;-0.0488;1.1516;0.0827;31.1096;351.7256;351.5231;True;True;-0.0853;0.9348;0.4191;9.5060;51.8883;41.6299;-0.1346;0.8750;0.4630;0.0799;0.3227;0.0366;153.4721;-0.1261;0.8498;0.4480;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10448;2.7713;-0.0455;1.1531;0.0797;30.7355;352.2598;351.3848;True;True;-0.0910;0.9481;0.4206;3.0920;50.6255;43.4514;-0.1349;0.8853;0.4661;-0.1280;0.1556;0.0930;152.5561;-0.1233;0.8605;0.4525;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10452;2.8267;-0.0419;1.1547;0.0784;29.9571;353.4962;350.9425;True;True;-0.0970;0.9563;0.4225;358.8836;47.2307;45.2202;-0.1387;0.8914;0.4671;-0.1394;0.1397;-0.0019;150.9242;-0.1245;0.8672;0.4548;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10456;2.8822;-0.0368;1.1550;0.0774;30.2371;358.3712;353.2539;True;True;-0.0989;0.9660;0.4149;358.2373;43.5141;43.0416;-0.1447;0.9034;0.4588;0.0285;0.2908;-0.1998;150.4621;-0.1303;0.8786;0.4484;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10460;2.9377;-0.0300;1.1562;0.0768;30.5760;6.2649;358.0759;True;True;-0.0630;1.0084;0.3886;2.6276;40.9038;31.4939;-0.1220;0.9600;0.4346;1.0044;0.8315;-0.6010;152.2630;-0.1124;0.9321;0.4268;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10464;2.9945;-0.0225;1.1586;0.0760;29.3088;14.6495;3.7765;True;True;-0.0011;1.0294;0.3685;11.3825;34.8697;13.4747;-0.0752;1.0071;0.4127;1.2434;0.2182;-0.3487;157.0724;-0.0752;0.9771;0.4073;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10468;3.0500;-0.0160;1.1604;0.0743;27.9859;20.8282;8.0581;True;True;0.0711;1.0285;0.3517;3.2219;35.1211;3.4852;-0.0026;1.0208;0.4011;1.1816;-0.3920;-0.1170;158.4315;-0.0045;0.9903;0.4023;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10472;3.1059;-0.0108;1.1617;0.0720;26.9046;24.4748;10.8960;True;True;0.1274;1.0145;0.3397;354.0751;45.2394;6.9854;0.0652;1.0013;0.4020;0.9652;-0.2315;-0.2724;160.9503;0.0683;0.9711;0.4056;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10476;3.1607;-0.0081;1.1631;0.0699;26.3799;25.8456;12.0589;True;True;0.1712;0.9936;0.3382;348.3811;56.3377;15.2512;0.1269;0.9681;0.4112;0.6578;-0.4405;0.0812;-163.5472;0.1355;0.9388;0.4121;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10480;3.2175;-0.0064;1.1650;0.0686;25.8811;25.7182;11.9154;True;True;0.1968;0.9695;0.3453;334.2959;61.9964;29.4714;0.1772;0.9275;0.4214;0.3816;-0.4486;0.0417;-166.1321;0.1947;0.9027;0.4178;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10484;3.2729;-0.0055;1.1670;0.0690;25.0549;25.2271;11.6038;True;True;0.2229;0.9392;0.3508;326.2102;54.8931;41.4095;0.2119;0.8879;0.4228;0.2663;-0.4143;0.1645;-166.0194;0.2343;0.8677;0.4178;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10488;3.3277;-0.0050;1.1679;0.0701;24.5743;24.7065;11.4202;True;True;0.2345;0.9248;0.3486;331.2148;53.7488;39.9381;0.2168;0.8723;0.4184;0.2101;-0.2256;-0.0962;-163.8760;0.2375;0.8505;0.4134;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10492;3.3824;-0.0046;1.1678;0.0707;24.8188;24.7264;11.0053;True;True;0.2280;0.9166;0.3421;333.9595;56.2063;35.7549;0.2071;0.8674;0.4134;-0.0629;-0.1533;-0.0976;-164.3232;0.2261;0.8440;0.4088;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
