Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;RingPosition_x;RingPosition_y;RingPosition_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;PalmPosition_x;PalmPosition_y;PalmPosition_z;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;
4512;0.0713;0.0083;1.2016;0.0035;16.6069;2.6354;2.4158;True;True;0.2152;0.7584;0.0535;16.1012;85.2893;354.2777;0.2081;0.7651;0.1420;0.0018;-0.0016;-0.0001;-151.2987;0.2009;0.7362;0.1485;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4516;0.1500;0.0079;1.2036;0.0021;15.9075;2.4457;2.2840;True;True;0.2152;0.7585;0.0536;16.0980;85.3520;354.1945;0.2083;0.7654;0.1421;-0.0016;-0.0005;0.0073;-151.2987;0.2011;0.7364;0.1487;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4520;0.2066;0.0074;1.2055;0.0009;14.8544;2.4173;2.3127;True;True;0.2152;0.7584;0.0535;16.1402;85.4973;354.1349;0.2086;0.7653;0.1421;-0.0020;0.0052;-0.0011;-151.2987;0.2013;0.7364;0.1487;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4524;0.2648;0.0068;1.2067;-0.0003;14.0343;2.2629;2.3733;True;True;0.2146;0.7609;0.0534;16.2243;85.6329;354.5879;0.2080;0.7672;0.1420;-0.0170;0.0324;0.0091;-151.2987;0.2007;0.7382;0.1484;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4528;0.3216;0.0063;1.2062;-0.0017;14.5733;2.1347;2.2487;True;True;0.2137;0.7626;0.0546;16.5168;86.7132;355.9199;0.2082;0.7669;0.1434;-0.0051;0.0265;0.0190;-151.2987;0.2009;0.7378;0.1492;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4532;0.3797;0.0063;1.2040;-0.0026;16.1558;2.3194;2.2398;True;True;0.2133;0.7645;0.0554;16.7139;88.0126;358.4064;0.2087;0.7651;0.1444;-0.0128;0.0469;0.0125;-151.2987;0.2014;0.7358;0.1490;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4536;0.4377;0.0071;1.2006;-0.0028;18.2229;3.2429;2.2753;True;True;0.2133;0.7649;0.0553;16.9763;88.0777;359.0497;0.2085;0.7645;0.1443;0.0175;-0.0329;-0.0177;-151.2987;0.2011;0.7352;0.1486;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4540;0.4932;0.0093;1.1978;-0.0015;20.1079;5.5966;2.5966;True;True;0.2141;0.7636;0.0546;16.6825;87.3805;358.2622;0.2086;0.7644;0.1435;0.0144;-0.0209;-0.0109;-151.2987;0.2013;0.7351;0.1481;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4544;0.5492;0.0125;1.1953;0.0003;21.5914;9.4114;3.6036;True;True;0.2147;0.7625;0.0542;16.5038;86.8550;357.5570;0.2087;0.7644;0.1431;0.0113;-0.0154;-0.0053;-158.3857;0.2014;0.7351;0.1480;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4548;0.6039;0.0161;1.1932;0.0035;22.3010;13.5047;5.1905;True;True;0.2153;0.7613;0.0534;16.1819;86.1982;356.3723;0.2087;0.7648;0.1421;0.0090;-0.0209;-0.0250;-148.6847;0.2016;0.7357;0.1476;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4552;0.6591;0.0203;1.1912;0.0081;22.3026;16.5178;6.5676;True;True;0.2228;0.7630;0.0490;15.6887;83.9093;358.4785;0.2118;0.7635;0.1374;0.3984;0.1235;-0.1537;-148.5815;0.2047;0.7340;0.1416;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
4556;0.7150;0.0250;1.1879;0.0126;22.8690;18.6427;6.5611;True;True;0.2475;0.7906;0.0397;16.0764;77.4385;12.7425;0.2213;0.7700;0.1223;0.4195;0.7219;-0.1541;-159.7910;0.2152;0.7404;0.1181;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
